별점, 내용, 날짜, 좋아요, 싫어요
1, '진짜 영화가 너무 평범하다 못해... 아.. 연기력은 그냥 너무도 평범했다. 솔직히 왜 상을 받을만했는지 전혀 이해를 못하겠음. 감동도 재미도 전혀 없는 그런 영화.', '2021.04.30', 9, 2
1, '여러가지 상을 휩쓸어 호기심과 기대감으로 모처럼의 영화관 나들이를 했는데 결론 부터 말씀드리면 대실망~ 허탈합니다. 스토리 진부하고 배우들의 연기는 그저 평범 그이상 이하도 아님! 감동이나 메세지도 전혀 없는 딱 삼...', '2021.04.30', 9, 2
9, '별한개도 아까움..이게뭐람??? 내가 영화를 그렇게 마니봤어도..아휴 진짜 이걸 2시간을봤네', '2021.04.02', 9, 2
1, '영상미 음악은 좋으나일단 영화라는 건 재미 있어야 되지 않나 싶다돈 아깝다', '2021.03.24', 9, 2
1, '쌉노잼이였어요 돈아까워라', '2021.03.22', 9, 2
1, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.20', 9, 2
1, '한국영화 특유의 억지스러운 신파없이 아주 절제된 감정으로 너무나 잘 풀어낸 영화. 여운이 정말 진하게 남는다. 마지막 할머니의 실수가 가족에게 구원이 되었다는 것이 정말 아이러니하...', '2021.03.17', 9, 2
8, '솔직히 돈아까움', '2021.03.07', 10, 3
6, '드라마 시티 아칸소판... 코로나로 영화가 없으니..', '2021.05.02', 11, 4
1, '저 지금 봤는데요이거 무슨 ㅡㅡ 내용이 없는데요??? 주말 두명에 거의 4만원 돈 내고 봤는데아 진짜 장난하나ㅋㅋ영화광 저희 엄마가3처넌 짜리 독립영화 수준이라며ㅋㅋ뭐 다 느끼는 바가 다르겠지만정말 돈아깝네요 ㅋ...', '2021.03.21', 11, 4
1, '이게 솔직히 재밌냐? 시간아까움', '2021.03.11', 11, 4
6, '너무나 마음이 무거웠어요나의 감정이 이입 되면서 나 자신을 토닥여 줬어요.모두가 행복하길 소원해 보는 시간이었어요', '2021.03.08', 11, 4
6, '전반적인 스토리 진행이 무미건조해서 지루하네요', '2021.03.22', 12, 5
4, '돈 아깝다. 솔직하게들 후기 적어주세요. ㅠ ㅜ 국뽕에 취해서 뭐 있는듯이 하고들 있지만 솔직히 돈 아깝짆아요. ㅠ 실망스럽잖아요... ㅠ ㅜ', '2021.03.21', 12, 5
4, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.12', 12, 5
2, '진짜 ㅈ노잼인데 댓글알바가 양심챙겨', '2021.03.08', 12, 5
6, '재밌고 재미없어요 이민자라면 공감할 내용 하지만 전 이민자가 아니여서 그런지 잘 모르겠어요', '2021.03.03', 12, 5
9, '정서가 다른건지.. 요즘 사회에서 넘 놀라운 일들이 많이 생겨서 왠만한 정서는 안다가오는건지는 모르겠는데.. 전.. 잘 모르겠더라고요. 어떤 포인트가 감동적인지..  뭘 느껴야하는지 조차도요.', '2021.03.03', 12, 5
6, '아무것도 모르고 영화순위높은것만 보고 봤는데 뭐가 더 나올줄알고 엄청 집중해서 봤는데 그냥 그대로 끝났네요..딱 끝나면 뭐지?싶어요...연출이랑 몰입감은 좋았고 현실적이였어요 하지만 저한테는 좀 지루했어요..', '2021.04.21', 13, 6
4, '미나리 수상 이유.코x나로 개봉 영화가 없어서.', '2021.03.19', 13, 6
8, '이 영화가 개봉되기를 기다려왔다. 보고싶었고 궁금했다. 그리고 오늘 영화를 보았다. 기대를 떠나서 최소한의 영화적 감동선이 있어야 하는데 보는 내내 고개를 갸우뚱할 수밖에 없었다. 스토리도 영상미도 없었다. 그랬다는...', '2021.03.10', 13, 6
4, '미나리가 미국에서 주목 받는 이유는 코로나로 인한 아시아인 혐오와 맞물려 인종 간의 차별이 없던 시절에 대한 향수와 지지에 주목하는 타이밍이 절묘했기 때문이지 영화적 완성도가 뛰어나서는 아니다.', '2021.04.11', 15, 8
10, '내밀하고 진솔한 경험이 우리 삶의 놀라운 찬가가 되다.', '2021.03.04', 16, 9
2, '큰 기대감에는 못 미쳤다.', '2021.07.02', 6, 0
2, '갸웃뚱? 잘 모르겠어요.마지막 앤딩장면...기대에 부응하지 못한 영화...', '2021.04.28', 6, 0
2, '한국 특유의 신파가 없어서 좋았어요', '2021.04.27', 6, 0
2, '기대에 많이 못미치는...감동이 없어 아쉬운 영화입니다', '2021.04.26', 6, 0
2, '어느 곳이든지 뿌리 내리고 잘 자라는 미나리와 같은 우리들의 삶을 그린 영화. 사실적이어서 아프기도하지만 또 사실적이어서 따뜻하다. 코로나로 삶이 많이 변화 한 오늘도 우리 모두 적응하고 살아가는 것처럼 그럼에도 ...', '2021.04.26', 6, 0
2, '진짜 씹노잼이네 ㅋㅋㅋ 대여료 아까워서 2시간 다봤건만... 정말 재미가 없는 영화다. 아니 재미가 없다기 보다는 개판이라고 보는게 맞을 듯 하다. 정적이고 잔잔한 거랑 재미없는 거랑은 확실히 구분 되어야되니까. 일...', '2021.03.24', 6, 0
8, '북미에서 외래종 식물인 미나리를 저렇게 무개념하게 심어서야...한류(미나리)를 심어서 미국 토종을 작살내고 번성하자는 모티브인가', '2021.03.04', 6, 0
6, '간만에 꿀잠 잤다 이딴것 만들지마라', '2021.05.08', 7, 1
1, '이렇게 내용도 없고 잼없는 영화 첨 봄.', '2021.05.02', 7, 1
2, '별루내요 근대 머때메 날리난것만냥 온방송 마다 나오는지 대통령 연설보다 방송5체널에서 방영을 해대내요 그정도는 아닌가요 돌리는체널 마다 미나리 미나리 미나리 미나리 미나리먹고 미첫나요 외들그러는거에요 낮에 체널 돌리...', '2021.05.01', 7, 1
2, '글쎄 기생충만큼 센세이션을 일으길 정도 인가 싶다..아마 외국인의 시선이라 그런가? 배우들 연잘하는건 알겠고..이제 한국 배우를 알아보는구나 라는 생각이 든다.. 모든 가치가 백인우월주의에서 비롯된게 아닐까?  한국...', '2021.05.01', 7, 1
1, '', '2021.04.13', 7, 1
1, '온갖 막장으로 단련된 한국인에게 너무 순한맛', '2021.04.13', 7, 1
1, '영화 전부 엉망진창 이다', '2021.04.07', 7, 1
8, '아니 이게 대체 뭔 내용이여엑소시스트임 미나리 캐는 내용임', '2021.04.05', 7, 1
5, '미나리에 삼겹살이 더 맛있습니다', '2021.03.09', 7, 1
8, '감동 흥미 다 내 관점에선 아니다...보고나니 낚였다는 기분밖에 안든다...', '2021.03.08', 7, 1
8, '봉준호 감독이 보편적이고 아름답다라고 말한걸 자랑스럽게 예고편에 영상에 넣었는데 ;;; 보편적이다는게 결국은 흔하다는거 아님?', '2021.03.04', 7, 1
6, '그냥 지루하고 연기도 못해서 집중이 안됨.돈아까워요...', '2021.05.19', 8, 2
2, '음.. 이렇게 끝난다고????할때 영화끝남ㅋㅋㅋ', '2021.04.28', 8, 2
1, '감독의 자전적인 이야기를 담담하고 보편적인 정서로 풀어낸 것 외에 칭찬일색인 이유를 난 모르겠다. 권위에 취한 여론의 전형적인 반응을 낳은 길이길이 남겨둬야 할 사례의 영화 아닌가.', '2021.04.28', 8, 2
1, '삶의 무게를 견뎌내며 하루하루 힘들게 사는 이들을 응원합니다가족을 거느리고 어디선가 정착하며 살아내려는 한국사람들의 근성은 이민자들의 삶에서 가장 크게 와닿는듯 하다', '2021.04.27', 8, 2
1, '한국이 싫어 떠났지만 결국 한국과 관련된 것 (모정음식) 없이는 살아 갈 수 없는 이민자의 삶은 TCK인 제 삶에 큰 울림을 주었습니다. 데이빗 귀여워요!', '2021.04.26', 8, 2
1, '언론서 평가되는 것보다.별감동을 못받으네요.', '2021.04.13', 8, 2
4, '내 잃어버린 115분은 어디에?', '2021.03.22', 8, 2
8, '와 무슨 아카데미상 수상했다길래 네이버시리즈온으로 결제해서 봤는데 노잼도 이런 노잼이 없다 절대 돈주고 보지마세요 무료로 풀리면 보세요', '2021.03.21', 8, 2
1, '아니 대체 이게 뭐야....', '2021.03.21', 8, 2
1, '꿀잠용 영화. 평점만 높게 나오는 재미없는 자칭 평론가들 그들만의 리그', '2021.03.21', 8, 2
8, '같은 미국인이 만든 미나리는 고용창출도 안 되는 데 호평일색이고 고용창출 쿠팡은 왜 욕을 먹지? 한국인의 이중성이란 참', '2021.03.13', 8, 2
1, '평점이 왜 높은지 이해가 안되네요..보는내내 지루하고 윤여정의 연기는 그닥 잘 하는지 모르겠더군요.솔직한 객관적 생각입니다..', '2021.05.02', 9, 3
1, '폴 아저씨와 데이빗의 연기가 인상적이었다.', '2021.04.28', 9, 3
1, '개연성과 주제의식이 없음보편적인 이민1세대의 삶을 그렸다기엔 가족의 특수성이 도드라지고 한 편의 이야기라고 하기엔 개연성이 없음우연에 기반한 진행이 스토리의 주요한 부분을 차지함', '2021.04.28', 9, 3
2, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.15', 9, 3
10, '밋밋하고 잼없어요..산만하게 끝까지 본내가 자랑스럽네요 10점만점에 0점..', '2021.03.08', 9, 3
2, '살아남는 것에 대한 영화 많은 생각이 들었어요', '2021.03.13', 10, 4
10, '노잼 대학졸업작품걑은느낌', '2021.03.03', 10, 4
6, '평식이형 평론했음 1~2개였을건데 이상황에 글캐하면 욕먹을거 알고 평론안했네 ㅋㅋ', '2021.03.22', 11, 5
6, '개 쓰렉영화 절대 보지 말아라~돈과 시간이 아깝다..소문난 잔치에 먹을게 없다.난 왜 여우조연상 줬는지도 이해가 불가하다.', '2021.03.20', 11, 5
6, '갑자기 싸운다고? 갑자기 병 걸린다고? 갑자기 낫는다고? 갑자기 불난다고? 이렇게 끝난다고??? 미나리는 갑자기 왜나온건지 어디서나 잘자라는것 만 가지고 억지로 같다붙인.. 배우가 아깝', '2021.03.16', 11, 5
1, '한 사람의 잔잔한 추억을 공유받은 느낌', '2021.03.07', 11, 5
8, '50대여자친구셋이함께봤다.다들화가많이나서헤어졌다..너무지루하고졸려서힘들어했다.ㅠㅠ', '2021.03.06', 11, 5
1, '데이뷧 너무 커여워 ㅋㅋㅋㅋ퓌퓌~', '2021.03.09', 12, 6
1, '백인 할아버지들 재미교포 할아버지들은 많이 공감하겠지만 젊은 세대들은 그 감동이 느껴질 수 있으려는지....미국 이민문화와 세대의 벽이 너무 큰 것 같습니다.', '2021.04.28', 13, 7
8, '너무 기대해서 그런가요 soso', '2021.03.03', 13, 7
8, '기대를 넘 많이 한건지 감흥이 그닥 없네요.', '2021.03.04', 14, 8
8, '미나리 나물 광고 영화였음.그냥 뻔한 스토리를 제작비 들어  왜 만들었는지 이해안감.  스토리도 너무 어설픔.  실습생이 만든 연습용 작품큰 실망함.   연습용 영화는 무료로 해주었으면 좋겠음. 댓글 평점 알바 속지...', '2021.03.03', 14, 8
8, '한예리에 주목할 필요가 있는 영화', '2021.03.06', 15, 9
10, '엄복동보다 더 재미없는 영화이딴영화가 1위하고있는것도 웃기고 ㅋㅋㅋ마지막결말 열린결말?말 그대로 미나리맛있겠더라 엄복동보다 못한영화였다.', '2021.03.03', 17, 11
10, '히틀러의 만행에 침묵으로 동조한 독일국민들은 자신들의 과오에 대해 철저하게 반성하고 있다. 영화평론가는 자신의 평론을 통해 평론가의 가치를 인정받아야 한다. 그런데 한국의 자칭 평론가들은 흥행작에 대해 평론이 아닌 ...', '2021.03.04', 18, 12
6, '삶을 되돌아 보게 하는 잔잔한 영화입니다', '2021.04.28', 5, 0
6, '지나친 신파가 없어서 좋다감동을 기대하지 않고 삶을 받아들이듯 담담히 보면 좋은 영화', '2021.04.27', 5, 0
8, '튀지 않고 조용 하지만 삶이 녹아 있는 그런 영화였어요', '2021.04.26', 5, 0
2, '촬영감독 칭찬해.. 아주 뛰어난 연출', '2021.04.25', 5, 0
2, '최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움', '2021.04.21', 5, 0
8, '친정엄마가 생각나고이민자들의고단한 삶이가슴이 먹먹합니다', '2021.03.24', 5, 0
6, '미나리보다 KBS"인간극장"이 낮다~~~', '2021.03.06', 5, 0
8, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.04', 5, 0
8, '미나리. 산다는 게 무엇일까. 그래도 미나리처럼 살아봐야하지 않을까. 영화제목하나는 잘 지었네https://blog.naver.com/happymoon315/222322661435', '2021.03.03', 5, 0
7, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.03', 5, 0
8, '영화가 매우 현실적이라 허무하다 정말로 삶을 대변한다... 나름대로의 의미를 찾아가는 가족을 응원해주고 싶다', '2021.03.03', 5, 0
1, '핵노잼. 갑자기 끝. 왜 상 받는지 모르겠음.', '2021.05.14', 6, 1
1, '아니 아무리 영알못이라해도... 뭘 얘기하려는지는 알것는데 근데 아니 진짜 이게 이렇게 난리날?? 미국감성과 달라서인가...도무지... 윤여정 연기야 항시 최고지만 여우조연주연상을? 크게 한게 있나...끝나고..멍...', '2021.05.14', 6, 1
10, '기대가 너무 컸나봐요. 생각보다 감동은 좀 덜했어요 한편의 독립영화를 본 느낌이랄까요', '2021.05.06', 6, 1
1, '뉴스에서보도될정도로상받을만한영화는아닌것같아요!...그냥일반적인시나리오에임팩트가없어요!...보통일반영화수준인듯!...', '2021.05.02', 6, 1
7, '내용이 어렵네요 하지만 기억에 남을듯', '2021.04.30', 6, 1
5, '척박한 땅에 강건한 뿌리를 내리기까지 나를 버티게 한 건 가족.', '2021.04.28', 6, 1
1, '미나리 처럼 무럭무럭 자라난 가족의 사랑', '2021.04.04', 6, 1
1, '가족애를 느끼게하는 훈훈한 영화잘봤습니다', '2021.04.01', 6, 1
2, '평점 10점씩 준 놈들 유튜브 광고 5초도 제대로 못참을 놈들이 태반일 텐데 지적허영심에 걸려서 이딴 재미도 없는 영화 잔잔하다느니 뭐니 빨아주는 거 보면 개극혐 ㅋㅋ 보다가 너무 지루해서 휴대폰으로 계속 몇 분 지...', '2021.03.22', 6, 1
1, '기대이하 어처구니없는 전개 머지? 소문난잔치에 먹을게없다 연기력도 그렇고 어이없는 끝맺음잔뜩기대하게 해놓고 ???  기대하고본다면 진짜 실망할것', '2021.03.21', 6, 1
1, '자극적이지 않고 담담해서 더 가슴을 후벼파는 영화... 주변 어딘가에서 한번쯤 들어봤을 법한 이야기라 더 그렇다', '2021.03.20', 6, 1
1, '괜히받네....감동없고 ....', '2021.03.20', 6, 1
8, '감독의 개인적이고 단편적인 기억들을 이어붙인 느낌. 감정 곡선의 고저는 아주 평탄한 편.', '2021.03.06', 6, 1
6, '재난영화', '2021.03.06', 6, 1
8, '일단 평론가들이 높게 주었다는건 안좋다는걸 의미. 그분들은 상영도중 필림끊어져 영상안나오면  감동이라며 10점주는 사이코들이다.', '2021.03.05', 6, 1
8, '영화평론가들의 장난.', '2021.03.04', 6, 1
6, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.03', 6, 1
7, '개인적으로 너무 지루하고 계속 다투는 모습나오구 어떤 부분이 감동인지 전혀 모르겠어요', '2021.05.24', 7, 2
1, '스크린쿼터제떄문에 영화관에서 이영화만해서 어쩔수없이본 ...;잼있는 외국영화 겁나많은데..젠장할..', '2021.05.01', 7, 2
10, '이 밋밋함과 싱거움은 뭐지...', '2021.05.01', 7, 2
6, '아 너무 지루해서 잘뻔했어요', '2021.03.29', 7, 2
6, '매우 잔잔할 거라고 한예리 배우님이 방송에서 경고하셔서 각오하고 봤어요. 그래서 그런지 생각보다는 오르락 내리락이 있는 영화였습니다. 귀여운 데이빗 덕분에 영화 내내 웃음 지으며 볼 수 있었던 것 같아요.^^', '2021.03.24', 7, 2
8, '그냥 그랬음. 서양인들 시각에서는 다르게 보이나 싶음', '2021.03.23', 7, 2
1, '잔잔한 이민사에서  알고 있는 내용이지만누구나 한번쯔 가족에서  느끼는 감정곡선과 아이의 시선으로 바라보는 어른들의 모습에  점수를 주고싶네요', '2021.03.23', 7, 2
1, '처음부터 끝까지 지루하지 않게 보았습니다몰입도 있게 보았고 잔잔한 여운이 남네요데이빗이 젤 기억에 남네요 ㅎㅎ', '2021.03.19', 7, 2
6, '기-승-승(..불날 때 잠깐 전이될뻔 했으나 금방 넘어감..)-결.', '2021.03.07', 7, 2
5, '영상미가 뛰어나고 스토리는 별 내용 없어요', '2021.03.07', 7, 2
1, '제목 미나리??? 스토리??? 영상미??? 결론??? 명절에 TV에서 특선영화 할때까지 기다리심이 좋을듯... ㅠㅠ', '2021.05.01', 8, 3
7, '30대 중반이 접어들고 보니..그냥 영화라기 보다는 삶을 보여주는 것 같았습니다.영상이랑 음악이 정말 좋았고 배우분들의 자연스런 연기와 꼬마친구들이 보는 내내 즐거움을 주었습니다..영화 끝나고 아빠랑 만약 그때 아빠...', '2021.05.01', 8, 3
8, '시대에 맞지않아 감동이 없음', '2021.04.21', 8, 3
6, '기대가 컸나봅니다 그냥 잔잔하고 약간의 감동이 있는 독립영화 느낌이었구요 데이빗의 연기가 기억에 남네요 풍광도 미국이 아닌 한국 시골 같았어요', '2021.04.01', 8, 3
6, '지루하고 좀 심심해요...엄마는 보다가 주무심ㅋㅋ', '2021.03.20', 8, 3
9, '참내.. 어이가 없어서...', '2021.03.10', 8, 3
10, '왜 계속 영상이 끊기는 듯한 느낌이 드는지 모르겠다 . 허한 이 느낌 뭐지 ... 밥을 잔뜩 먹었는데 뭘 안 먹은 듯 뱃속이 허한 느낌 .', '2021.05.02', 9, 4
10, '큰 기대를 하고 봐서 그런지 생각보다  지루했음극찬한 포인트가 무엇일까 계속 찾아봤는데 잘 모르겠음 지인에게 굳이 추천은 안할것같음', '2021.03.19', 10, 5
6, '너무 기대가 컸다. 외국에서 수상까지 했다는 홍보효과에 낚인 듯. 줄거리 구성도 어중간 가족들간의 연기도 연기조화가 되지않고 특히 한예리는 한국말 대사처리가 부정확하여 말이 뭉개지고...어떻게 이런 영화가 수상을...', '2021.03.23', 11, 6
4, '유명 영화제와 실제 관람객 사이의 괴리를 적나라하게 볼 수 있는 영화. 시간이 소중하지 않으신 분들께 추천', '2021.04.22', 12, 7
10, '잔잔하지만 특별한큰 여운이 남진 않음', '2021.07.28', 4, 0
1, '보기전에는 단순히 가족영화가 아닐까~ 하고 예상했는데 잔잔한 여운이 남는 영화..가족이라는 단위를 넘어 삶이 가지는 가장 큰 가치는 무엇일까. 어떤 지향점을 최고의 가치와 목표로 생각하고 살아야 할까. 에 대해 한...', '2021.06.27', 4, 0
1, '이민자로 비슷한 경험을 했거나 힘든 과거를 경험한 분들에게는 큰 울림을 주는 영화일수 있겠지만 저와같은 일반적인 사람들도 과연 공감하고 특별한 느낌을 받을수 있을까?좌절하고 다시 일어서는 스토리의 영화야 그동안 너무...', '2021.06.17', 4, 0
8, '제가 뭘 봤는지 아직도 파악 할 수가 없네요 ㅠㅠ', '2021.05.27', 4, 0
2, '서로 엉겨붙고서라도 꿋꿋이 자라는 미나리들', '2021.05.22', 4, 0
10, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.05.09', 4, 0
2, '남들은 공감대가 잘 형성될지 모르겠지만 저한테는 도입부에 트럭과 헤치백카로 이사가는 장면부터 울컥했네요.. 영화 스토리가 너무 저와 제 와이프 이야기를 하는것 같았고.. 아이와 장모님은 없었지만 그외적인 이야기들이 ...', '2021.05.07', 4, 0
2, '담담하고 담백하고 담대하다', '2021.05.05', 4, 0
2, '뭐지??무슨 얘기지?뭘 말하려는걸까?', '2021.05.01', 4, 0
6, '잔잔하긴 하더라...근데 경의적인 모우먼트는 없더라.글쎄..', '2021.04.30', 4, 0
2, '재밌음', '2021.04.28', 4, 0
2, '보는 내내 고구마 답답.. 결말도 답답.. 지루하고 답답함. 상 받는 영화들 공통점: 보면 재미없음', '2021.04.28', 4, 0
3, '미나리 연관성 1도 없고 ㅋㅋㅋ 왜 제목을 미나리라고 책정했는지도 의문이네요.  거기에 상 받은 그 분의 연기력도 의심드는 게 걍 한국드라마에 나오는 시어머니 그 이상이하도 아님.  대체 이 영화가 그렇게 스포트라이...', '2021.04.27', 4, 0
6, '재미있는 내용은없지만잔잔하게 스며들게되는 영화전지루하지않게 몰입해서봤어요', '2021.04.26', 4, 0
2, '모르겠어요.. 왜 어떤부분에서 윤여정이 상을빅있는지.... 진짜 상만아니면 안볼영화', '2021.04.26', 4, 0
6, '미나리....잡초같이 짓밟혀도 일어나는 한국인의 근성', '2021.04.26', 4, 0
2, '내가 본 영화 중에 최악은 아니여도 그 언저리에  가깝다. 기대가 커서 만은 아니리라. 그냥 스토리 전개가 뭐가 없다. 그냥 인생 극장 제일 무난한 편을 감흥 없이 본 느낌이다.', '2021.04.25', 4, 0
2, '넥플렉스로 본게 신의한수다 진짜...', '2021.04.25', 4, 0
2, '초중반까진 미국에 정착하는 이민자의 일대기가 매우 재밌고 흥미진진하다. 가족간의 정서 변화도 일품. 하지만 후반부에 개연성 없는 억지전개+억지 감동이 매우 짜증나게한다. 윤여정님의 수상이 캐리한 영화. 남자아이도 귀...', '2021.04.24', 4, 0
2, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.04.20', 4, 0
2, '스토리가 엉성한 영화같아요마무리가 엉망인~~ 지루그자체였어요', '2021.04.11', 4, 0
2, '상받은 영화 재밌는거 본적있냐?', '2021.04.10', 4, 0
2, '홍보가   미나리를   살린거지왜  돈주고  봤나  후회스럽네요', '2021.04.07', 4, 0
2, '왜 상받았는지 몰겟음. 걍 심심한 영화. 윤여정씨 딸로 나온분 연기가 더 좋았음', '2021.03.25', 4, 0
7, '댓글평이 안좋아서 기대안하고 봤지만 정말감동이 1도없네요', '2021.03.09', 4, 0
8, '도대체? 왜?  라는  단어만 나옵니다. 솔직히그 어떤  요소가  하나도 없군요.', '2021.03.06', 4, 0
1, '미국이 열광한 영화라 엄청 기대했는데. 음? 너무 잔잔하잖아..  사실 한국에 이정도 영화는 사실 널리지 않았나? 나쁘지 않았는데 너무 큰 기대는 하지마시라.', '2021.05.17', 5, 1
2, '장면연결이 어색하고 주제는 뚜렷하나 대본이 너무 엉성함', '2021.05.09', 5, 1
8, '그냥 다큐나 비급 영화 보는게 낫것다.', '2021.05.05', 5, 1
6, '결말이 뭐야 이게? 왜 상을 받았지? 용두사미가 따로 없네 뭘 말하고자 하는지 모르겠다. 그냥 미국에서 아시아인 단독으로 나온 영화가 없어 신기해서 줬나 어이가 없을 정도로 스토리가 형편 없다. 억지로 꾸역꾸역 넣은...', '2021.05.02', 5, 1
1, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.05.01', 5, 1
2, '최악최악 산으로가고 바다에빠지고 총체적난국', '2021.04.30', 5, 1
2, '어디까지나 전문가의 평은 거르는 것이 맞는 거 같단 생각이 듭니다~ 아역이외의 배역은 정말~ 그냥 그랬고~ 감독은 자신이 느낀 감정을 여러 사람들에게 들려 주기엔 부족 한 거 같았습니다~ 상을 위한 영화인지 ㅎㅎㅎ ...', '2021.04.29', 5, 1
6, '나는 하나도 공감이 안된다. 상 많이 받으면 니들은 찬사를 보내겠지.', '2021.04.28', 5, 1
2, '이게 왜 작품성 평가를 받노. 미국인은 코로나 걸려서 눈도 실명했노? 내가 연기해도 윤여정 빼고 나머지보다 연기 잘할 자신있다.', '2021.04.27', 5, 1
2, '진짜 지루하고 연기도 어색하고 스토리도 특별한거 모르겠네요.대실망~', '2021.04.27', 5, 1
1, '적당히 괜찮습니다. 제2의 기생충을 기대하고본다면 실망이 클거구요. 윤여정연기에 기대를 했는데 기대이하였구요. (La비평가 조연상이 좀 의아스러울정도) 남자아이가 그나마 영화를 잘살렸단? 생각들정도였네요.전체적인구성...', '2021.04.26', 5, 1
1, '친정엄마가 한국에서부터 비행기 혼자 타고 힘들게 오셨을텐데 공항으로 아니 집 앞에서 마중하는 것도 아니고 할머니가 문을 열고 안으로 들어 와 인사하는 것으로 연출한것은 좀 이해가 안됐네요. 한예리씨 얼마전 종료한 ...', '2021.04.26', 5, 1
2, '솔직히 재미없네요 비추~', '2021.04.26', 5, 1
1, '평점이 왜이리 높지????나도 감독하겠다 ㅡ.ㅡ;; 어떻게 아카데미상 탄건지 의문임', '2021.04.25', 5, 1
1, '미나리 ~~미나리 원더풀~^^패니스 브로큰   넘 재밌었어요~^^', '2021.04.25', 5, 1
1, '그냥 잔잔하다가 끝나는데 10자라니', '2021.04.12', 5, 1
1, '음.. 윤여정이 각종 영화제에서 상 받은 것은 대단하지만 그녀의 연기를 브라운관에서 자주 보는 한국인으로서 사실 이번 미나리에서의 연기가 딱히 놀랍지 않다. 윤여정은 무슨 배역을 맡아도 윤여정으로 연기하는데 이번에도...', '2021.04.05', 5, 1
4, '이게? 정말 이게!???', '2021.03.27', 5, 1
1, '상까지 받은 영화를 평하기는 뭐하지만 개인적으로 지루해서 중간에 나가려고 했다', '2021.03.24', 5, 1
1, '인간적인 일들을 잘 그려내었지만 생각보다 생각할 요소를 잘 주지않아서 기생충과 같이 기대했지만분석을 할것들이 그닥 기대했던 것보다 많지 않아아쉽고 결말에서 임팩트가 없어서 놀랐습니다', '2021.03.21', 5, 1
1, '미국놈들에겐 이런 영화가 통하지. 서편제 같은 영화는 이해도 못해서 쓰레시 취급받았지...그냥 흔한 영화. 드라마.여명의 눈동자가 천배 낫다.', '2021.05.12', 6, 2
1, '내가 뭘 본거지.. 진심 실망했다...', '2021.05.07', 6, 2
1, '미나리말고 고사리는 없냐?', '2021.05.06', 6, 2
1, '영화봤는ㄷㅔ아무생각없이 보기엔 좋은데내용이 딱히 임팩트가없음.뭐물론 그냥 스토리는 볼만함기대이하', '2021.05.06', 6, 2
1, '이게 진짜 왜? 모두들 연기도 어색하고', '2021.05.05', 6, 2
2, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.05.03', 6, 2
4, '불면증으로 고생하시는 분들께 추천드립니다', '2021.05.03', 6, 2
2, '잘 모르겠어요 미국판 전원일기 같은 느낌아래 호평 하신 내용들을 보면 훌륭한작품이다 라는 글들이 있는데 글쎄요 미국인들을 비롯해 백인들이 보기에는 장면장면 배우들 연기등 다른 영화들에서 느껴보지못한 문화적차이가 아닌...', '2021.05.02', 6, 2
2, '진짜 노잼아니 이게 정말로 재밌나요?', '2021.04.29', 6, 2
1, '뭐죠.. 이 애매모호함... 솔직히 너무 실망입니다. 기승전 잔잔하다 못해 지루함의 끝판왕! 보통 저예산 독립영화보다도 못한... 한국인 이민자인데 한국말이 너무 서툴러서 보는내내 거슬림... 제목만 미나리인 결말이...', '2021.04.27', 6, 2
1, '참~ 그냥 그렇네요좀 마음을 쫄깃하게했다 놓았다 하는곳이 한곳도 없고 그냥 밋밋 하네요', '2021.04.27', 6, 2
1, '음.. 뭔가 똥싸고 안닦은 느낌이에요.. 윤여정님이 연기로 하드캐리하셨고 스티븐 연은 한국의 아버지가 아니고 교포느낌이 너무나서 아쉬웠어요. 엔딩때는 아뭐지 끝났나? 이런느낌 ㅠ 기대를 너무 해서 봤나봐요', '2021.04.27', 6, 2
1, '기대이하 지루해 죽을 뻔 했네', '2021.04.27', 6, 2
1, '졸려요 그냥 졸려요 흐규흐규흐규', '2021.04.26', 6, 2
1, '내가 뭘 본거지.. 영화관에서 졸은 건 처음이다', '2021.04.26', 6, 2
1, '진짜 이렇게 노잼이여도 되는건가....상은 돌려먹기인가....', '2021.04.19', 6, 2
1, '제발 내 시간 돌려줘..', '2021.03.26', 6, 2
8, '절대.보지.마세요. 우~~~', '2021.03.24', 6, 2
3, '진짜 ㅋㅋ국뽕 빼고보면 평점 2점준다', '2021.03.22', 6, 2
1, '솔직히 여우조연상급 연기인지 이해가 안됨.', '2021.03.21', 6, 2
1, '이런 연기로 조연상? 아쉬운데', '2021.03.20', 6, 2
1, '재미 없는데요....', '2021.03.17', 6, 2
8, '완전 노잼 재미없음.ㅋㅋ', '2021.03.04', 6, 2
1, '다큐임? 내 귀중한 시간을 냠냠해버린 올해의 영화로 기억될듯', '2021.05.09', 7, 3
